Keyword,Definition,접근방식 기준,접근방식 기준-소분류,건축설계단계,공간적 스케일,Final Trend Index,S_Trend,S_Media,S_Academic,Trend_Growth,Trend_Momentum,Media_Growth,Media_TotalY,Academic_Growth,Academic_Total,EN_Main
활동적 시니어 주거,"활동적, 자립적 시니어를 위한 건강, 여가 특화 주거",사용자,생애주기 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),26,11.63596329,43.97250494,38.10225612,0,0,11.53846154,52,1,57,Active Senior Living
프리미엄 시니어 주거(하이엔드),고소득 시니어를 위한 고급 서비스 중심의 하이엔드 주거,사용자,생애주기 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),31,24.98808332,35.80590524,37.25629912,0.537085381,0.003282051,10.55172414,58,1,52,premium senior housing
전 연령 포용형 주거,다양한 세대가 혼합되어 공존하고 세대 간 교류를 촉진하는 포용적 주거,사용자,생애주기 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),25,25.73656268,18.72818289,28.56909292,0.724137931,0,12,20,1,20,All-Age Inclusive Housing
예방형 웰니스 주가,"실내 공기, 조명, 음향, 온습도 등 환경 제어로 건강을 예방적으로 관리하는 웰니스 주거",사용자,건강관리 특화 주거,운영 및 관리 서비스,실내 (프라이빗 공간),38,25.73656268,62.48402153,38.87821601,0.724137931,0,13.46938776,49,1,62,Preventive wellness real estate
홈케어 주거,원격 의료와 돌봄 서비스를 주거와 결합한 홈케어 주거,사용자,건강관리 특화 주거,운영 및 관리 서비스,실내 (프라이빗 공간),47,31.43899503,57.87096821,66.50433249,1.010842609,0.002538833,12.1875,64,4,1,홈케어 주거
치유형 주거,정신적 휴식과 스트레스 완화를 위한 치유 중심 주거,사용자,건강관리 특화 주거,운영 및 관리 서비스,실내 (프라이빗 공간),28,31.60054585,18.72818289,28.56909292,0.896689776,0.005009594,12,20,1,20,Therapeutic Housing
무장애(베리어-프리) 주거,"장애, 연령 제한 없이 누구나 안전하고 편리하게 이용 가능한 베리어 프리형 주거",사용자,접근성 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),40,32.08059691,55.84096313,39.17148264,1.031000317,0.003104586,11.82352941,68,1,64,무장애
교육 특화 주거,어린 자녀가 있는 가정을 위한 맞춤형 교육 및 돌봄 지원 중심의 주거,사용자,맞춤형 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),39,29.57850618,56.33029464,38.87821601,1,0,12,65,1,62,Education-oriented housing
반려동물 친화 주거,반려동물을 위한 전용 시설과 커뮤니티를 갖춘 펫 특화형 주거,사용자,맞춤형 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),54,59.89928479,59.34443421,37.07755527,4.309144026,0.007450459,12.90566038,53,1,51,Pet-friendly housing
AIoT 플랫폼,"AI와 IoT 융합 플랫폼, 주거 내 데이터 분석 및 맞춤형 서비스 제공 플랫폼",스마트 기술,디지털 통합 관리 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,43,36.32617261,58.72818289,40,1.112684302,0.007863248,12,70,1,70,AIoT platform
디지털 트윈,"가상공간에 현실 주거단지를 디지털로 구현하여 실시간 모니터링, 시설물 유지관리 등을 지원하는 디지털 시뮬레이션 플랫폼",스마트 기술,디지털 통합 관리 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,55,41.56971024,58.72818289,76.81345558,1.165280874,0.014661358,12,70,4,5,Digital Twin
소셜 로봇,"방문객 안내, 보안 경비 등을 수행하는 자율주행 안내 로봇",스마트 기술,서비스 로봇,기술 인프라 및 시스템 구축,건물 시스템 및 인프라,49,44.31066577,35.01522519,73.00866498,1.314837584,0.016154776,10.4,60,4,3,social robot
가사지원 로봇,"청소, 배송 등 물리적 업무를 수행하는 서비스 로봇",스마트 기술,서비스 로봇,기술 인프라 및 시스템 구축,건물 시스템 및 인프라,38,14.82037783,85.02599508,38.57548756,0.586206897,-0.012923077,16.36363636,44,1,60,Home assistance robot
태양광 건물일체형 발전,"*BIPV: Building Integrated Photovoltaic, *ESS: Energy Storage System
건물 일체형 태양광 시스템(BIPV)에서 생산된 전력을 공동 ESS에 저장하는 친환경 에너지 솔루션",스마트 기술,친환경 에너지 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,63,61.63007804,51.53255015,76.81345558,4.80952381,0.006564103,11.8,60,4,5,Integrated Solar Building
전기차 충전 인프라,"*EV: Electric Vehicle
단지 내 전기차 충전시설 인프라 구축",스마트 기술,친환경 에너지 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,48,44.34797576,33.25059173,70.30912309,1.241620622,0.017437499,10.95652174,46,4,2,Electric vehicle charging infrastructure
양방향 전력(V2G) 시스템,차량과 단지 간 양방향 전력 교환으로 비상 전력 확보 및 에너지 효율성 향상 기술,스마트 기술,친환경 에너지 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,46,18.68688466,53.86498491,91.26863481,0.313095864,0,11.64705882,68,4,27,양방향 전력
공유 모빌리티 스테이션,"단지 내에서 전동 킥보드, 카셰어링 등 공유 모빌리티 운영 시설",스마트 기술,스마트 모빌리티 기술,상세 설계 및 엔지니어링,건축물 전체 및 외부 공간,37,29.57850618,50.71182935,39.31474906,1,0,11.45454545,66,1,65,공유 모빌리티 스테이션
스마트 배송 허브,드론 및 자율주행 로봇 배송을 지원하는 스마트 물류 공간 및 스마트 보관함,스마트 기술,스마트 모빌리티 기술,상세 설계 및 엔지니어링,건물 시스템 및 인프라,43,37.37523635,56.83526819,40,2.407822606,-0.008851282,11.82857143,70,1,70,Smart Delivery Hub
AI 보안 시스템,AI 기반 얼굴인식과 CCTV를 활용한 주거 출입 관리 보안 시스템,스마트 기술,범죄 예방 기술,기술 인프라 및 시스템 구축,건물 시스템 및 인프라,33,44.25840666,45.00710324,0,1.446393964,0.0139663,10.92537313,67,1,0,AI security system
가변형 평면,"이동식 벽체, 모듈형 가구로 실내 공간의 구조와 용도를 유연하게 변경 가능한 가변형 설계",공간 구성,가변성 중심 공간,기획설계 및 초기 디자인,실내 (프라이빗 공간),48,29.7913529,63.82718121,70.30912309,0.857433443,0.003138805,12.75,64,4,2,Variable Floor Plan
공유형 주거,개인 공간 최소화와 공용 공간 중심으로 설계된 공동생활 기반의 공유형 주거,공간 구성,공유 기반 공간,기획설계 및 초기 디자인,실내 (공용 공간),38,35.0227913,43.56837351,38.10225612,1.100872582,0.006154122,11.34545455,55,1,57,Co-living
홈오피스,개인 주거 내에서 재택 및 원격 업무를 지원하는 특화형 공간 설계,공간 구성,업무 특화 공간,기획설계 및 초기 디자인,실내 (공용 공간),47,34.41270062,52.76046115,66.50433249,1.123433656,0.00484586,12.22222222,54,4,1,Home office
코워킹,입주민 전용 업무 및 교류 중심의 커뮤니티 활성화형 공유 공간 설계,공간 구성,업무 특화 공간,기획설계 및 초기 디자인,실내 (공용 공간),49,34.69423231,48.66736224,76.81345558,1.312377046,0.002005316,11.59322034,59,4,5,Coworking
제로에너지 설계,재생에너지 활용 및 고단열/고기밀 설계로 에너지 사용량을 최소화한 친환경 설계,지속가능성,친환경 설계,상세 설계 및 엔지니어링,단지 전체,82,94.80356068,41.32355917,95.07342541,13.9424231,0.019430207,11.30769231,52,4,41,Zero Energy Design
바이오필릭 디자인,"식물, 자연광, 친환경 소재를 통해 건강과 심리적 안정을 높이는 자연 친화적 주거 디자인",지속가능성,친환경 설계,상세 설계 및 엔지니어링,단지 전체,51,40.85317549,40.65817722,81.60692484,1.076097322,0.01521061,10.56716418,67,4,9,Biophilic design
재난안전 디자인,"재난(침수, 폭염, 지진 등)에 대비한 시설 및 구조 설계를 통해 비상전력을 확보하고 안전성을 높인 설계",지속가능성,재난 및 안전 대응 설계,상세 설계 및 엔지니어링,단지 전체,60,52.20569987,57.31056081,79.51299747,2.94787364,0.007413746,12,67,4,7,Disaster Safety Design
모듈러 건축 공법,공장에서 사전 제작한 건축 모듈을 현장에서 조립하여 공사기간 단축과 품질 향상을 실현하는 건설 방식,모듈러,모듈러 건축,건설 및 시공,건축물 전체 및 외부 공간,75,82.03602594,58.90913897,76.81345558,9.476250923,0.014153846,12.92307692,52,4,5,Modular construction method
브랜드 협업 주거,유명 브랜드와의 협업을 통해 디자인 및 서비스 차별화를 실현한 브랜드 특화 주거 상품 ,브랜드 & 서비스,브랜드 특화 주거,기획설계 및 초기 디자인,실내 (공용 공간),37,26.85118416,53.86498491,39.17148264,0.8,0,11.64705882,68,1,64,Brand Collaboration Residence
개인 맞춤형 브랜딩 주거,거주자의 취향과 스토리를 반영한 개인 맞춤형 디자인으로 개인의 정체성과 만족도를 높인 주거 상품,브랜드 & 서비스,브랜드 특화 주거,기획설계 및 초기 디자인,실내 (프라이빗 공간),39,29.57850618,56.41902582,38.87821601,1,0,12.19672131,61,1,62,Personalized Branding Residences
호텔형 서비스 주거,"고급 호텔 수준의 서비스 및 시설(F&B, 스파, 라운지 등)을 단지 내에 제공하여 호텔과 같은 생활 경험을 주는 서비스 중심 주거",브랜드 & 서비스,서비스 특화 주거,운영 및 관리 서비스,실내 (프라이빗 공간),37,29.70040113,51.86124029,38.57548756,0.993250844,0.000308986,11.47058824,68,1,60,Hotel-style serviced residence
